id	korean	english	context
1	-가	subject marker	after a vowel
2	-과	and	formal, after a consonant
3	-까지	until	a location or time
4	-께서	subject marker	honorific
5	-는	topic marker	after a vowel
6	-도	too	
7	-들	plural suffix	
8	-로	toward	after a vowel
9	-로	using	after a vowel
10	-를	object marker	after a vowel
11	-ㅂ니까	interrogative sentence ending	formal, polite, after a vowel
12	-ㅂ니다	declarative sentence ending	formal, polite, after a vowel
13	-부터	from	starting time
14	-습니까	interrogative sentence ending	formal, polite, after a consonant
15	-습니다	declarative sentence ending	formal, polite, after a consonant
16	-시	honorific suffix	after a vowel
17	-에	location marker	
18	-에	time marker	
19	-에서	from	a location or time
20	-에서	in	a location
21	-와	and	formal, after a vowel
22	-으로	toward	after a consonant
23	-으로	using	after a consonant
24	-으시	honorific suffix	after a consonant
25	-은	topic marker	after a consonant
26	-을	object marker	after a consonant
27	-의	possessive particle	
28	-이	subject marker	after a consonant
29	-이다	to be	
30	-인	person	suffix
31	-지 않다	not	negates a clause
32	-하고	and	colloquial
33	가다	to go	
34	가방	bag	
35	가볍다	to be light	
36	가수	singer	
37	가족	family	
38	감사하다	to be thankful	more formal
39	같이	together	etymology: same
40	개	dog	
41	개미	ant	
42	거기	there	
43	거미	spider	
44	거북이	turtle	
45	거실	living room	
46	건물	building	
47	걷다	to walk	
48	검은색	black	native
49	것	thing	
50	게으르다	to be lazy	
51	게임	game	
52	경찰	police	
53	계란	chicken egg	Sino-Korean
54	고래	whale	
55	고맙다	to be thankful	less formal
56	고양이	cat	
57	골드	gold	
58	곰	bear	
59	공	ball	
60	공부하다	to study	
61	공원	park	
62	공책	notebook	
63	과일	fruit	
64	괜찮다	to be okay	
65	교실	classroom	
66	구	nine	Sino-Korean
67	국수	noodles	
68	귀엽다	to be cute	
69	그	that	
70	그녀	she	
71	금요일	Friday	
72	기다리다	to wait	
73	기사	article	
74	기숙사	dormitory	
75	길	road	
76	김밥	kimbap	
77	김치	kimchi	
78	까마귀	crow	
79	까치	magpie	
80	꽃	flower	
81	나무	tree	
82	나방	moth	
83	나비	butterfly	
84	나쁘다	to be bad	
85	남동생	younger brother	
86	남아공	South Africa	
87	남자	man	
88	낮	daytime	
89	내리다	to get off	
90	내일	tomorrow	
91	냉면	cold noodles	
92	냉장고	refrigerator	
93	네	four	native, before a noun or counter
94	네	yes	
95	넷	four	native
96	노란색	yellow	
97	노래	song	
98	노래방	karaoke	
99	녹색	green	
100	농장	farm	
101	누가	who	with subject particle
102	누구	who	without subject particle
103	누나	older sister	male speaker
104	눕다	to lie down	
105	뉴욕	New York	
106	느리다	to be slow	
107	늑대	wolf	
108	다섯	five	native
109	다이아몬드	diamond	
110	단어	word	
111	달걀	chicken egg	native
112	달리다	to run	
113	닭	chicken	
114	당나귀	donkey	
115	대학교	university	
116	대화	dialogue	
117	더럽다	to be dirty	
118	덥다	to be hot	weather
119	도넛	doughnut	
120	도서관	library	
121	도쿄	Tokyo	
122	독서실	study room	
123	독일	Germany	
124	돈	money	
125	동물	animal	
126	동물원	zoo	
127	돼지	pig	
128	된장찌개	soybean paste stew	
129	두	two	native, before a noun or counter
130	두부	tofu	
131	둘	two	native
132	드레스	dress	
133	딸	daughter	
134	딸기	strawberry	
135	또는	or	
136	뜨겁다	to be hot	objects
137	라면	ramen	
138	러시아	Russia	
139	런던	London	
140	로비	lobby	
141	마시다	to drink	
142	마트	mart	
143	마흔	forty	native
144	만	ten thousand	
145	만나서 반갑습니다	pleased to meet you	
146	만지다	to touch	
147	많다	to be plentiful	
148	말	horse	
149	맛있다	to be delicious	
150	맞다	fits	
151	매일	every day	
152	맥주	beer	
153	먹다	to eat	
154	멋없다	to be uncool	
